feature,f1_importance_mean,f1_importance_std
cust_hitrate,0.18795931783863223,0.005282270144170085
cust_interactions,0.09915977628866401,0.004580093485595923
product_B_sold_in_the_past,0.07130388553418124,0.0032350941322152886
opp_month,0.0561824930272727,0.001856538756083657
opp_old,0.02980064798573585,0.0026386211423000128
cust_contracts,0.027549056482168342,0.003300991415727479
product_A_sold_in_the_past,0.02518628853576079,0.0015115259432554558
cust_in_iberia,0.016910696040491512,0.0008885348219814641
competitor_Y,0.013343940099012453,0.0013071150935886728
product_A_recommended,0.01047277018095789,0.0009342850096932597
competitor_Z,0.00993090172548905,0.0017290531249906582
product_A,0.003255510508061321,0.000553277459013651
product_D,0.0002754122050718122,0.00033929053251911134
competitor_X,0.0001529085391710927,4.8042476467857755e-05
product_C,0.0,0.0
